Series ID,Series Name,Units,Last Historical Update,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CNSM_CLP_MXC_MST.A,"Coal consumption : OECD : OECD Americas : Mexico and Other, Reference, IEO2021",million short tons,2020,40.3127,45.5991,43.9006,47.0457,46.765,49.1022,46.0795,45.3371,44.5648,37.7128,29.8184,22.3846,22.7244,23.0017,23.2004,23.3608,23.5229,23.7055,23.9026,24.0891,24.3025,24.5152,24.771,24.9973,25.2667,25.5216,25.7908,26.0342,26.2939,26.5558,26.8026,27.2667,27.7383,28.2068,28.6612,29.1214,29.3276,29.6289,29.9141,30.2226,30.4928
CNSM_CLP_NAA_MST.A,"Coal consumption : Non-OECD : Non-OECD Asia, Reference, IEO2021",million short tons,2020,4971.7977,5427.7572,5747.7613,5859.2178,5814.4254,5598.5668,5249.1797,5509.5545,5828.7196,5935.2321,5729.5242,5988.2856,6002.0249,6001.9952,6003.1549,5989.5264,5985.058,5972.4978,5969.6629,5957.1864,5956.9576,6017.3973,6092.8175,6151.0564,6225.5686,6291.8701,6349.7864,6413.1871,6477.7474,6549.2522,6619.0937,6692.4554,6767.7794,6842.6373,6916.6521,6996.0731,7027.7918,7059.5417,7084.101,7111.7146,7134.051
CNSM_CLP_NAM_MST.A,"Coal consumption : Non-OECD : Non-OECD Americas, Reference, IEO2021",million short tons,2020,28.3689,29.8079,31.0925,34.1611,36.1375,36.0331,34.315,34.9637,33.7796,29.6483,29.9154,40.1654,38.7736,39.2122,38.8401,38.4722,37.8638,37.4298,37.0377,36.4793,36.2771,36.5594,37.317,37.7651,38.1492,38.5959,39.7527,41.051,42.0032,43.1301,44.2386,44.7953,45.3986,45.998,46.588,47.1631,45.7492,44.3271,42.907,41.49,40.0512
CNSM_CLP_NNN_MST.A,"Coal consumption : Non-OECD : Total Non-OECD, Reference, IEO2021",million short tons,2020,5761.3137,6254.4421,6585.6455,6654.9123,6579.7978,6381.7689,6018.7115,6280.7092,6603.1772,6720.4974,6473.1951,6687.7492,6707.6521,6715.4292,6722.9235,6715.5184,6714.8215,6706.2615,6707.0987,6698.7868,6703.4056,6775.7091,6862.7489,6933.335,7020.1011,7099.2484,7165.4861,7236.4944,7308.7447,7388.2298,7465.5013,7543.8295,7623.8232,7703.4007,7782.3927,7866.4973,7899.3868,7932.6677,7958.1713,7987.4307,8010.6252
CNSM_CLP_NUR_MST.A,"Coal consumption : Non-OECD : Non-OECD Europe and Eurasia, Reference, IEO2021",million short tons,2020,537.6575,584.7414,585.8521,540.1159,505.7553,525.3031,510.1579,509.6329,521.5364,531.9734,518.2505,467.6457,468.6913,470.0119,470.7126,471.2889,471.5824,472.0764,472.176,472.9333,473.9192,482.4244,490.8586,499.4971,507.8905,516.7121,521.5779,525.7177,530.1492,534.6316,538.5462,542.6535,546.3913,550.0733,553.8573,557.6699,560.8191,564.2548,567.1155,570.6059,573.4585
CNSM_CLP_OAA_MST.A,"Coal consumption : OECD : OECD Asia, Reference, IEO2021",million short tons,2020,484.7729,485.8317,492.7917,491.2211,485.5866,492.7951,493.6082,495.4736,480.9824,480.7715,420.5618,449.642,439.5109,429.3663,417.3377,406.7236,403.9524,403.2207,400.9367,399.9319,398.4872,401.7707,403.2161,405.754,407.484,410.2771,411.3374,411.7077,412.3394,412.213,411.7067,407.9245,403.7429,399.5179,395.5885,391.4288,387.6146,382.6577,379.0179,374.784,371.1706
CNSM_CLP_OAM_MST.A,"Coal consumption : OECD : OECD Americas, Reference, IEO2021",million short tons,2020,1144.3363,1100.8319,981.1509,1017.9123,1009.6856,892.5428,820.0567,804.256,767.2065,637.2028,520.2006,597.0954,615.2587,547.4725,500.5426,451.0639,456.9941,440.8184,442.2442,440.3362,434.5909,428.9761,420.384,416.9343,415.9173,406.3346,405.0681,399.7688,390.1517,386.8312,385.087,383.8531,384.3332,380.14,378.7167,371.2785,370.2274,369.2867,373.3136,374.0414,374.7588
CNSM_CLP_OAS_MST.A,"Coal consumption : Non-OECD : Non-OECD Asia : Other, Reference, IEO2021",million short tons,2020,303.1904,311.2941,314.4058,318.5233,333.7119,364.3005,397.014,413.1071,461.5727,494.8986,455.6828,523.0585,542.8976,559.75,576.6619,590.6354,615.4912,639.1544,663.9607,686.9331,711.6834,731.7266,754.0634,773.9131,796.4192,817.8305,835.82,853.9688,871.9124,890.4853,908.7963,935.2056,961.9385,988.79,1015.0016,1041.6769,1064.2586,1084.117,1106.2322,1127.6553,1149.1904
CNSM_CLP_JPN_MST.A,"Coal consumption : OECD : OECD Asia : Japan, Reference, IEO2021",million short tons,2020,202.956,198.3759,207.8039,219.3705,215.0792,212.5582,212.4931,214.3924,208.8963,218.2682,186.0455,217.7062,215.351,212.7774,208.948,206.3491,204.3247,203.5262,201.5458,200.2635,198.6314,201.1143,202.157,203.839,205.2739,207.4636,207.971,207.93,208.1881,207.7399,206.8083,203.2074,199.4902,195.3183,191.568,187.8066,183.2557,178.4899,174.2986,170.0308,165.8952
CNSM_CLP_MID_MST.A,"Coal consumption : Non-OECD : Middle East, Reference, IEO2021",million short tons,2020,2.8002,3.7696,4.3734,5.2259,5.4265,5.4488,5.6865,5.8032,5.4835,5.8313,5.4824,5.7223,5.9033,5.9811,6.0481,6.1114,6.9935,7.8696,8.7336,9.5796,10.45,9.6021,8.1017,7.4308,6.7575,6.1926,7.0218,7.8451,8.6702,9.4828,10.2886,12.1223,13.9538,15.7786,17.7713,19.4179,19.2688,19.1166,18.9568,18.7924,18.6255
